avg_loser_size_usd,avg_txs_per_position,avg_winner_size_usd,best_position_pnl_usd,biggest_position_usd,conviction_ratio,dune_label,first_buy,last_action,majors_pnl_usd,median_hold_days,n_positions,n_positions_external_inflow,n_profitable_positions,pct_flipped_same_day,pnl_excluding_best_usd,positions_never_sold,roi,still_held_value_usd,total_invested_usd,wallet,win_rate,net_pnl_all_usd,roi_all,n_positions_all,n_losers,gross_losses_usd,worst_position_usd,n_total_wipeouts,wipeout_loss_usd,n_txs_all,biggest_position_all_usd,clean_pnl_usd,clean_invested_usd,inflow_pnl_usd,n_clean_positions,n_sold_without_buying,sold_without_buying_usd,best_clean_position_usd,clean_pnl_excluding_best_usd,recent_pnl_180d_usd,recent_positions_180d,size_variation,active_hours_of_day,best_position_share,verdict
7473,2.30000000000000000,16888,32775,30758,2.26,,2024-11-07 17:06:03.000 UTC,2025-02-04 21:44:06.000 UTC,52709,20,4,1,4,0.00000000000000000,19934,0,0.65,0,80554,GeZDmfU5MhGuNBzbUK1gk8EdXFxiRVeXUUcR4ZC9kD4w,1.00000000000000000,49801,0.36,12,7,-25170,-14082,1,2003,27,30758,46930,125793,2871,11,0,0,32775,14155,0,0,0.86,3,0.7,REJECT: never sized up
4299,4.90000000000000000,18645,60032,159368,4.34,,2024-04-26 08:18:07.000 UTC,2025-08-07 07:38:19.000 UTC,88740,10,9,7,5,0.22000000000000000,28709,0,0.22,0,403481,6z1gXC88vhU3NsqJu9xxjgDbHULmjgqLkWuq78Pwsfoz,0.56000000000000000,70721,0.11,70,48,-85261,-12627,13,35936,346,159368,46617,332189,24691,62,1,3705,60032,-13415,0,0,2.55,20,1.29,pass
3687,6.30000000000000000,9314,50702,68346,2.53,,2024-03-08 03:58:37.000 UTC,2025-04-02 02:31:56.000 UTC,82456,8,6,1,3,0.33000000000000000,31755,0,0.41,0,200839,CKn3p6J9MfWD59iGjctYhd4idp9jimTsqntaPFyu9YJW,0.50000000000000000,45814,0.11,79,57,-65041,-15125,12,9488,498,68346,45658,414109,156,78,0,0,50702,-5044,0,0,2.26,19,1.11,pass
21703,5.80000000000000000,56746,63386,155721,2.61,,2024-01-30 07:27:34.000 UTC,2024-05-11 15:01:15.000 UTC,113214,10,3,5,3,0.33000000000000000,49828,0,0.37,0,308538,9mdXGZvirqB6VW6yiUSAF6piiTLtyZ8uqBx9vvtdD4a6,1.00000000000000000,90872,0.16,16,10,-56250,-48795,6,7451,92,208089,45538,532720,45334,11,3,19349,63386,-17848,0,0,1.85,13,1.39,REJECT: sells tokens it never bought
2748,2.70000000000000000,15413,41199,135970,5.61,,2024-08-04 11:10:50.000 UTC,2025-12-02 16:03:44.000 UTC,63438,25,9,3,4,0.00000000000000000,22240,0,0.24,29725,264432,7vZX1nykNpRc39nRS2ZmLyrmpQNXtR3b4fUbgUcMpqtW,0.44000000000000000,55679,0.16,63,50,-81917,-11917,41,65511,167,135970,45385,311012,10294,60,0,0,41199,4186,-2573,1,3.3,11,0.91,pass
103234,5.90000000000000000,217600,312667,777893,2.11,,2024-11-10 16:06:41.000 UTC,2025-02-26 11:53:44.000 UTC,582936,13,12,3,7,0.17000000000000000,270269,0,0.2,0,2902959,Dc6Bp1GSFdqaJWqffcPz5tNmkgwBGYaVNVCwnmyop3DL,0.58000000000000000,204383,0.05,28,20,-848829,-283422,5,316587,164,777893,44993,3306194,159391,25,0,0,312667,-267674,0,0,1.32,8,6.95,pass
9583,3.20000000000000000,11302,278790,119794,1.18,,2024-05-29 02:24:14.000 UTC,2025-08-24 11:35:25.000 UTC,291064,19,9,0,5,0.33000000000000000,12274,0,0.83,0,351492,Dmcx6ySM2o9tFj7M5zzvT9MUtYXPZSQVMt28zT4xJxg5,0.56000000000000000,44141,0.05,83,59,-440492,-104379,30,250638,262,119794,44141,836648,0,83,1,77135,278790,-234649,0,0,1.77,7,6.32,REJECT: sells tokens it never bought
873,2.90000000000000000,2702,19744,25272,3.1,,2024-01-17 20:02:03.000 UTC,2025-01-20 02:52:39.000 UTC,32037,35,4,8,3,0.25000000000000000,12293,0,0.59,0,54152,AVMVsjogeC4aTZqJLjc8REk16jJf1qc9qwZpydE7mZ7P,0.75000000000000000,44326,0.1,326,241,-131777,-5170,138,74513,945,42631,44124,430446,202,318,4,12532,33270,10854,21,1,2.97,9,0.75,REJECT: sells tokens it never bought
3580,5.30000000000000000,6992,39884,96167,1.95,,2024-03-06 07:42:46.000 UTC,2025-05-22 23:41:55.000 UTC,69750,7,6,9,4,0.17000000000000000,29867,0,0.38,0,183567,AwLcLE6NwDomzk6JnCEax8tETFgRhYysmg8QJUGnhRtk,0.67000000000000000,73849,0.16,91,50,-72331,-11928,11,24513,478,96167,44122,438407,29726,82,3,10947,39884,4239,0,0,2.24,15,0.9,REJECT: sells tokens it never bought
206803,16.30000000000000000,315449,176403,631512,1.53,,2024-01-14 16:38:20.000 UTC,2024-11-30 23:09:50.000 UTC,248017,12,5,1,3,0.00000000000000000,71614,0,0.23,0,1086599,E7ark5WnDwYoHJ6mCEDzSaUQwax399tU2sou6L5gysRe,0.60000000000000000,194253,0.1,8,5,-133630,-57960,0,0,130,631512,43928,1348852,150325,7,1,7230,176403,-132475,0,0,0.9,12,4.02,REJECT: sells tokens it never bought
